Index #,Order ID,Year,Order Date,Ship Mode,Customer ID,Customer Name,Segment,Country,State,Category,Sub-Category,Sales,Quantity,Discount,Profit,P_ID,Product_Name,Region
67,US-2012-164175,2012,4/30/2012,Standard Class,PS-18970,Paul Stevenson,Home Office,Bangladesh,Rajbari,Furniture,Chairs,213.115,5,0.3,-15.2225,P-0065,ITEM-0065,Central
68,CA-2011-106376,2011,12/5/2011,Standard Class,BS-11590,Brendan Sweed,Corporate,Bangladesh,Naogaon,Office Supplies,Art,1113.024,8,0.2,111.3024,P-0066,ITEM-0066,Northern
69,CA-2011-106376,2011,12/5/2011,Standard Class,BS-11590,Brendan Sweed,Corporate,Bangladesh,Naogaon,Technology,Phones,167.968,4,0.2,62.988,P-0067,ITEM-0067,Northern
70,CA-2013-119823,2013,6/5/2013,First Class,KD-16270,Karen Daniels,Consumer,Bangladesh,Gazipur,Office Supplies,Paper,75.88,2,0,35.6636,P-0068,ITEM-0068,Central
71,CA-2013-106075,2013,9/19/2013,Standard Class,HM-14980,Henry MacAllister,Consumer,Bangladesh,Bogura,Office Supplies,Binders,4.616,1,0.2,1.731,P-0069,ITEM-0069,Northern
72,CA-2014-114440,2014,9/15/2014,Second Class,TB-21520,Tracy Blumstein,Consumer,Bangladesh,Kishoreganj,Office Supplies,Paper,19.05,3,0,8.763,P-0070,ITEM-0070,Central
73,US-2012-134026,2012,4/26/2012,Standard Class,JE-15745,Joel Eaton,Consumer,Bangladesh,Kurigram,Furniture,Chairs,831.936,8,0.2,-114.3912,P-0071,ITEM-0071,Northern
74,US-2012-134026,2012,4/26/2012,Standard Class,JE-15745,Joel Eaton,Consumer,Bangladesh,Kurigram,Furniture,Furnishings,97.04,2,0.2,1.213,P-0072,ITEM-0072,Northern
75,US-2012-134026,2012,4/26/2012,Standard Class,JE-15745,Joel Eaton,Consumer,Bangladesh,Kurigram,Office Supplies,Storage,72.784,1,0.2,-18.196,P-0073,ITEM-0073,Northern
76,US-2014-118038,2014,12/10/2014,First Class,KB-16600,Ken Brennan,Corporate,Bangladesh,Rajshahi,Office Supplies,Binders,1.248,3,0.8,-1.9344,P-0074,ITEM-0074,Northern
77,US-2014-118038,2014,12/10/2014,First Class,KB-16600,Ken Brennan,Corporate,Bangladesh,Rajshahi,Furniture,Furnishings,9.708,3,0.6,-5.8248,P-0075,ITEM-0075,Northern
78,US-2014-118038,2014,12/10/2014,First Class,KB-16600,Ken Brennan,Corporate,Bangladesh,Rajshahi,Office Supplies,Storage,27.24,3,0.2,2.724,P-0076,ITEM-0076,Northern
79,US-2011-147606,2011,11/26/2011,Second Class,JE-15745,Joel Eaton,Consumer,Bangladesh,Rajshahi,Furniture,Furnishings,19.3,5,0.6,-14.475,P-0077,ITEM-0077,Northern
80,CA-2013-127208,2013,6/13/2013,First Class,SC-20770,Stewart Carmichael,Corporate,Bangladesh,Lakshmipur,Office Supplies,Appliances,208.16,1,0,56.2032,P-0078,ITEM-0078,Eastern
81,CA-2013-127208,2013,6/13/2013,First Class,SC-20770,Stewart Carmichael,Corporate,Bangladesh,Lakshmipur,Office Supplies,Binders,16.74,3,0,8.0352,P-0079,ITEM-0079,Eastern
82,CA-2011-139451,2011,10/12/2011,Standard Class,DN-13690,Duane Noonan,Consumer,Bangladesh,Noakhali,Office Supplies,Art,14.9,5,0,4.172,P-0080,ITEM-0080,Eastern
83,CA-2011-139451,2011,10/12/2011,Standard Class,DN-13690,Duane Noonan,Consumer,Bangladesh,Noakhali,Office Supplies,Storage,21.39,1,0,6.2031,P-0081,ITEM-0081,Eastern
84,CA-2012-149734,2012,9/3/2012,Standard Class,JC-16105,Julie Creighton,Corporate,Bangladesh,Meherpur,Office Supplies,Envelopes,200.984,7,0.2,62.8075,P-0082,ITEM-0082,Southern
85,US-2014-119662,2014,11/14/2014,First Class,CS-12400,Christopher Schild,Home Office,Bangladesh,Rajbari,Office Supplies,Storage,230.376,3,0.2,-48.9549,P-0083,ITEM-0083,Central
86,CA-2014-140088,2014,5/29/2014,Second Class,PO-18865,Patrick O'Donnell,Consumer,Bangladesh,Magura,Furniture,Chairs,301.96,2,0,33.2156,P-0084,ITEM-0084,Southern
87,CA-2014-155558,2014,10/27/2014,Standard Class,PG-18895,Paul Gonzalez,Consumer,Bangladesh,Sylhet,Technology,Accessories,19.99,1,0,6.7966,P-0085,ITEM-0085,Eastern
88,CA-2014-155558,2014,10/27/2014,Standard Class,PG-18895,Paul Gonzalez,Consumer,Bangladesh,Sylhet,Office Supplies,Labels,6.16,2,0,2.9568,P-0086,ITEM-0086,Eastern
89,CA-2013-159695,2013,4/6/2013,Second Class,GM-14455,Gary Mitchum,Home Office,Bangladesh,Rajshahi,Office Supplies,Storage,158.368,7,0.2,13.8572,P-0087,ITEM-0087,Northern
90,CA-2013-109806,2013,9/18/2013,Standard Class,JS-15685,Jim Sink,Corporate,Bangladesh,Noakhali,Office Supplies,Art,20.1,3,0,6.633,P-0088,ITEM-0088,Eastern
91,CA-2013-109806,2013,9/18/2013,Standard Class,JS-15685,Jim Sink,Corporate,Bangladesh,Noakhali,Technology,Phones,73.584,2,0.2,8.2782,P-0041,ITEM-0041,Eastern
92,CA-2013-109806,2013,9/18/2013,Standard Class,JS-15685,Jim Sink,Corporate,Bangladesh,Noakhali,Office Supplies,Paper,6.48,1,0,3.1104,P-0089,ITEM-0089,Eastern
93,CA-2012-149587,2012,1/31/2012,Second Class,KB-16315,Karl Braun,Consumer,Bangladesh,Sylhet,Office Supplies,Paper,12.96,2,0,6.2208,P-0090,ITEM-0090,Eastern
94,CA-2012-149587,2012,1/31/2012,Second Class,KB-16315,Karl Braun,Consumer,Bangladesh,Sylhet,Furniture,Furnishings,53.34,3,0,16.5354,P-0091,ITEM-0091,Eastern
95,CA-2012-149587,2012,1/31/2012,Second Class,KB-16315,Karl Braun,Consumer,Bangladesh,Sylhet,Office Supplies,Binders,32.96,2,0,16.1504,P-0092,ITEM-0092,Eastern
96,US-2014-109484,2014,11/7/2014,Standard Class,RB-19705,Roger Barcio,Home Office,Bangladesh,Mymensingh,Office Supplies,Binders,5.682,1,0.7,-3.788,P-0093,ITEM-0093,Central
97,CA-2014-161018,2014,11/10/2014,Second Class,PN-18775,Parhena Norris,Home Office,Bangladesh,Bogura,Furniture,Furnishings,96.53,7,0,40.5426,P-0094,ITEM-0094,Northern
98,CA-2014-157833,2014,6/18/2014,First Class,KD-16345,Katherine Ducich,Consumer,Bangladesh,Noakhali,Office Supplies,Binders,51.312,3,0.2,17.9592,P-0095,ITEM-0095,Eastern
99,CA-2013-149223,2013,9/7/2013,Standard Class,ER-13855,Elpida Rittenbach,Corporate,Bangladesh,Sylhet,Office Supplies,Appliances,77.88,6,0,22.5852,P-0096,ITEM-0096,Eastern
100,CA-2013-158568,2013,8/30/2013,Standard Class,RB-19465,Rick Bensley,Home Office,Bangladesh,Rajbari,Office Supplies,Paper,64.624,7,0.2,22.6184,P-0097,ITEM-0097,Central
101,CA-2013-158568,2013,8/30/2013,Standard Class,RB-19465,Rick Bensley,Home Office,Bangladesh,Rajbari,Technology,Accessories,95.976,3,0.2,-10.7973,P-0098,ITEM-0098,Central
102,CA-2013-158568,2013,8/30/2013,Standard Class,RB-19465,Rick Bensley,Home Office,Bangladesh,Rajbari,Office Supplies,Binders,1.788,3,0.8,-3.0396,P-0099,ITEM-0099,Central
103,CA-2013-129903,2013,12/2/2013,Second Class,GZ-14470,Gary Zandusky,Consumer,Bangladesh,Sylhet,Office Supplies,Paper,23.92,4,0,11.7208,P-0100,ITEM-0100,Eastern
104,US-2012-156867,2012,11/13/2012,Standard Class,LC-16870,Lena Cacioppo,Consumer,Bangladesh,Natore,Technology,Accessories,238.896,6,0.2,-26.8758,P-0101,ITEM-0101,Northern
105,US-2012-156867,2012,11/13/2012,Standard Class,LC-16870,Lena Cacioppo,Consumer,Bangladesh,Natore,Furniture,Furnishings,102.36,3,0.2,-3.8385,P-0102,ITEM-0102,Northern
106,US-2012-156867,2012,11/13/2012,Standard Class,LC-16870,Lena Cacioppo,Consumer,Bangladesh,Natore,Office Supplies,Binders,36.882,3,0.7,-25.8174,P-0103,ITEM-0103,Northern
107,CA-2014-119004,2014,11/24/2014,Standard Class,JM-15250,Janet Martin,Consumer,Bangladesh,Meherpur,Technology,Accessories,74.112,8,0.2,17.6016,P-0104,ITEM-0104,Southern
108,CA-2014-119004,2014,11/24/2014,Standard Class,JM-15250,Janet Martin,Consumer,Bangladesh,Meherpur,Technology,Phones,27.992,1,0.2,2.0994,P-0105,ITEM-0105,Southern
109,CA-2014-119004,2014,11/24/2014,Standard Class,JM-15250,Janet Martin,Consumer,Bangladesh,Meherpur,Office Supplies,Art,3.304,1,0.2,1.0738,P-0106,ITEM-0106,Southern
110,CA-2012-129476,2012,10/15/2012,Standard Class,PA-19060,Pete Armstrong,Home Office,Bangladesh,Rajbari,Technology,Accessories,339.96,5,0.2,67.992,P-0107,ITEM-0107,Central
111,CA-2014-146780,2014,12/26/2014,Standard Class,CV-12805,Cynthia Voltz,Corporate,Bangladesh,Bogura,Furniture,Furnishings,41.96,2,0,10.9096,P-0108,ITEM-0108,Northern
112,CA-2013-128867,2013,11/4/2013,Standard Class,CL-12565,Clay Ludtke,Consumer,Bangladesh,Barisal,Office Supplies,Art,75.96,2,0,22.788,P-0109,ITEM-0109,Southern
113,CA-2013-128867,2013,11/4/2013,Standard Class,CL-12565,Clay Ludtke,Consumer,Bangladesh,Barisal,Office Supplies,Binders,27.24,6,0,13.3476,P-0110,ITEM-0110,Southern
114,CA-2011-115259,2011,8/25/2011,Second Class,RC-19960,Ryan Crowe,Consumer,Bangladesh,Chuadanga,Office Supplies,Fasteners,40.096,14,0.2,14.5348,P-0111,ITEM-0111,Southern
115,CA-2011-115259,2011,8/25/2011,Second Class,RC-19960,Ryan Crowe,Consumer,Bangladesh,Chuadanga,Office Supplies,Envelopes,4.72,2,0.2,1.652,P-0112,ITEM-0112,Southern
116,CA-2011-115259,2011,8/25/2011,Second Class,RC-19960,Ryan Crowe,Consumer,Bangladesh,Chuadanga,Office Supplies,Paper,23.976,3,0.2,7.4925,P-0113,ITEM-0113,Southern
117,CA-2011-115259,2011,8/25/2011,Second Class,RC-19960,Ryan Crowe,Consumer,Bangladesh,Chuadanga,Office Supplies,Envelopes,130.464,6,0.2,44.0316,P-0114,ITEM-0114,Southern
118,CA-2012-110457,2012,3/2/2012,Standard Class,DK-13090,Dave Kipp,Consumer,Bangladesh,Rangamati,Furniture,Tables,787.53,3,0,165.3813,P-0115,ITEM-0115,Eastern
119,US-2012-136476,2012,4/5/2012,Standard Class,GG-14650,Greg Guthrie,Corporate,Bangladesh,Kurigram,Office Supplies,Binders,157.794,1,0.7,-115.7156,P-0116,ITEM-0116,Northern
120,CA-2013-103730,2013,6/13/2013,First Class,SC-20725,Steven Cartwright,Consumer,Bangladesh,Jhenaidah,Furniture,Furnishings,47.04,3,0,18.3456,P-0117,ITEM-0117,Southern
121,CA-2013-103730,2013,6/13/2013,First Class,SC-20725,Steven Cartwright,Consumer,Bangladesh,Jhenaidah,Office Supplies,Binders,30.84,4,0,13.878,P-0009,ITEM-0009,Southern
122,CA-2013-103730,2013,6/13/2013,First Class,SC-20725,Steven Cartwright,Consumer,Bangladesh,Jhenaidah,Office Supplies,Storage,226.56,6,0,63.4368,P-0118,ITEM-0118,Southern
123,CA-2013-103730,2013,6/13/2013,First Class,SC-20725,Steven Cartwright,Consumer,Bangladesh,Jhenaidah,Office Supplies,Envelopes,115.02,9,0,51.759,P-0119,ITEM-0119,Southern
124,CA-2013-103730,2013,6/13/2013,First Class,SC-20725,Steven Cartwright,Consumer,Bangladesh,Jhenaidah,Technology,Phones,68.04,7,0,19.7316,P-0120,ITEM-0120,Southern
125,US-2011-152030,2011,12/26/2011,Second Class,AD-10180,Alan Dominguez,Home Office,Bangladesh,Rajshahi,Furniture,Chairs,600.558,3,0.3,-8.5794,P-0121,ITEM-0121,Northern
126,US-2011-134614,2011,9/20/2011,Standard Class,PF-19165,Philip Fox,Consumer,Bangladesh,Rajbari,Furniture,Tables,617.7,6,0.5,-407.682,P-0122,ITEM-0122,Central
127,US-2014-107272,2014,11/6/2014,Standard Class,TS-21610,Troy Staebel,Consumer,Bangladesh,Naogaon,Office Supplies,Binders,2.388,2,0.7,-1.8308,P-0123,ITEM-0123,Northern
128,US-2014-107272,2014,11/6/2014,Standard Class,TS-21610,Troy Staebel,Consumer,Bangladesh,Naogaon,Office Supplies,Storage,243.992,7,0.2,30.499,P-0124,ITEM-0124,Northern
129,US-2013-125969,2013,11/7/2013,Second Class,LS-16975,Lindsay Shagiari,Home Office,Bangladesh,Noakhali,Furniture,Chairs,81.424,2,0.2,-9.1602,P-0065,ITEM-0125,Eastern
130,US-2013-125969,2013,11/7/2013,Second Class,LS-16975,Lindsay Shagiari,Home Office,Bangladesh,Noakhali,Furniture,Furnishings,238.56,3,0,26.2416,P-0125,ITEM-0126,Eastern
131,US-2014-164147,2014,2/3/2014,First Class,DW-13585,Dorothy Wardle,Corporate,Bangladesh,Chuadanga,Technology,Phones,59.97,5,0.4,-11.994,P-0126,ITEM-0127,Southern
132,US-2014-164147,2014,2/3/2014,First Class,DW-13585,Dorothy Wardle,Corporate,Bangladesh,Chuadanga,Office Supplies,Paper,78.304,2,0.2,29.364,P-0127,ITEM-0128,Southern
133,US-2014-164147,2014,2/3/2014,First Class,DW-13585,Dorothy Wardle,Corporate,Bangladesh,Chuadanga,Office Supplies,Fasteners,21.456,9,0.2,6.9732,P-0128,ITEM-0034,Southern
134,CA-2013-145583,2013,10/14/2013,Standard Class,LC-16885,Lena Creighton,Consumer,Bangladesh,Noakhali,Office Supplies,Paper,20.04,3,0,9.6192,P-0129,ITEM-0129,Eastern
135,CA-2013-145583,2013,10/14/2013,Standard Class,LC-16885,Lena Creighton,Consumer,Bangladesh,Noakhali,Office Supplies,Paper,35.44,1,0,16.6568,P-0130,ITEM-0130,Eastern
136,CA-2013-145583,2013,10/14/2013,Standard Class,LC-16885,Lena Creighton,Consumer,Bangladesh,Noakhali,Office Supplies,Art,11.52,4,0,3.456,P-0131,ITEM-0131,Eastern
137,CA-2013-145583,2013,10/14/2013,Standard Class,LC-16885,Lena Creighton,Consumer,Bangladesh,Noakhali,Office Supplies,Fasteners,4.02,2,0,1.9698,P-0132,ITEM-0132,Eastern
